"CANT. DE PARTICIPANTES","FEMENINO","MASCULINO","DEPARTAMENTO","PROVINCIA","DISTRITO","CENTRO POBLADO","COMUNIDAD CAMPESINA O NATIVA","NOMBRE DEL EVENTO","TRIMESTRE"
"1","1","0","ANCASH","HUARAZ ","INDEPENDENCIA ","PARIA WILCAHUAIN","","GRAFOTECNIA Y DACTILOSCOPÍA PARA REGISTRADORES CIVILES","IV"
"1","1","0","PIURA","PIURA","TAMBOGRANDE","PEDREGAL","","ATENCIÓN AL CIUDADANO","IV"
"1","1","0","CAJAMARCA","SAN IGNACIO","CHIRINOS","PERICO","","ATENCIÓN AL USUARIO","IV"
"1","0","1","PUNO","PUNO","PLATERIA","PLATERIA","","RECTIFICACIÓN DE ACTAS REGISTRALES","IV"
"1","1","0","PUNO","CHUCUITO","POMATA","POMATA","","RECTIFICACIÓN DE ACTAS REGISTRALES","IV"
"1","1","0","PUNO","CHUCUITO","POMATA","POMATA","","CANCELACION DE ACTAS REGISTRALES","IV"
"1","0","1","CAJAMARCA","CAJAMARCA","CAJAMARCA","PORCONCILLO ALTO","","REPOSICIÓN Y RECONSTITUCIÓN DE ACTAS","IV"
"1","1","0","PUNO","AZÁNGARO ","ASILLO","PROGRESO","","RECTIFICACIÓN DE ACTAS REGISTRALES","IV"
"1","1","0","PUNO","AZÁNGARO ","ASILLO ","PROGRESO ","","ATENCIÓN AL CIUDADANO","IV"
"1","1","0","PIURA","MORROPON","SANTA CATALINA DE MOSSA","PUEBLO NUEVO DE MARAY","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","PUNO ","HUANCANE","PUSI","PUSI","","REPOSICIÓN Y RECONSTITUCIÓN DE ACTAS","IV"
"1","1","0","PUNO ","SAN ANTONIO DE PUTINA","PUTINA","PUTINA","","REPOSICIÓN Y RECONSTITUCIÓN DE ACTAS","IV"
"1","0","1","CUSCO","LA CONVENCION","QUELLOUNO","PUTUCUSI","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","LAMBAYEQUE","LAMBAYEQUE","OLMOS","QUERPON","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","0","1","PUNO ","HUANCANE","ROSASPATA","ROSASPATA","","REPOSICIÓN Y RECONSTITUCIÓN DE ACTAS","IV"
"1","1","0","HUANUCO ","PUERTO INCA","HONORIA","SAN ANTONIO DE HONORIA","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","AREQUIPA","AREQUIPA","LA JOYA","SAN CAMILO","","INTEGRAL EN REGISTROS CIVILES","IV"
"1","1","0","AREQUIPA","AREQUIPA","LA JOYA ","SAN ISIDRO ","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","1","0","LA LIBERTAD ","VIRÚ ","VIRÚ ","SAN JOSÉ","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
"1","1","0","LA LIBERTAD","VIRU","VIRU","SAN JOSE","","GRAFOTECNIA Y DACTILOSCOPÍA PARA REGISTRADORES CIVILES","IV"
"1","0","1","PUNO","PUNO ","SAN ANTONIO ","SAN JOSÉ ","","RECTIFICACIÓN DE ACTAS REGISTRALES","IV"
"1","1","0","PUNO ","EL COLLAO","ILAVE","SAN JUAN DE HUINIHUININI","","REPOSICIÓN Y RECONSTITUCIÓN DE ACTAS","IV"
"1","1","0","PUNO ","EL COLLAO ","ILAVE ","SAN JUAN DE HUINIHUININI","","ACCESO, USO, IMPORTANCIA Y UTILIDAD DEL PORTAL WEB DEL REGISTRADOR CIVIL","IV"
